u,mode_n1,mode_n2,mode_n3,mode_n4,mode_n5,mode_n6
0.189047,-1.01081868e-02,-4.68947291e-03,4.87908557e-03,1.53673848e-02,2.21994416e-02,-2.25676639e-02
0.190048,-1.00498309e-02,-4.55055219e-03,5.09930280e-03,1.55988340e-02,2.23216107e-02,-2.24588512e-02
0.191048,-9.99102937e-03,-4.41081647e-03,5.31980083e-03,1.58285387e-02,2.24390244e-02,-2.23432399e-02
0.192048,-9.93180957e-03,-4.27022236e-03,5.54047274e-03,1.60565799e-02,2.25513935e-02,-2.22213042e-02
0.193048,-9.87218757e-03,-4.12876166e-03,5.76125272e-03,1.62829746e-02,2.26585857e-02,-2.20933083e-02
0.194049,-9.81215669e-03,-3.98646227e-03,5.98213662e-03,1.65076250e-02,2.27606200e-02,-2.19591165e-02
0.195049,-9.75169512e-03,-3.84338325e-03,6.20316552e-03,1.67303518e-02,2.28576509e-02,-2.18183073e-02
0.196049,-9.69077951e-03,-3.69959002e-03,6.42438605e-03,1.69509594e-02,2.29498552e-02,-2.16703988e-02
0.197049,-9.62939903e-03,-3.55512646e-03,6.64580725e-03,1.71693032e-02,2.30372987e-02,-2.15150888e-02
0.198050,-9.56756258e-03,-3.40999774e-03,6.86737554e-03,1.73853240e-02,2.31198483e-02,-2.13523850e-02
0.199050,-9.50530435e-03,-3.26418669e-03,7.08898002e-03,1.75990794e-02,2.31972801e-02,-2.11827041e-02
0.200050,-9.44266176e-03,-3.11766177e-03,7.31049169e-03,1.78106365e-02,2.32692782e-02,-2.10065151e-02
0.201050,-9.37966435e-03,-2.97040875e-03,7.53180496e-03,1.80200188e-02,2.33355954e-02,-2.08241481e-02
0.202051,-9.31632370e-03,-2.82244895e-03,7.75286738e-03,1.82271581e-02,2.33961392e-02,-2.06356189e-02
0.203051,-9.25263289e-03,-2.67384002e-03,7.97368138e-03,1.84318909e-02,2.34509798e-02,-2.04406120e-02
0.204051,-9.18857230e-03,-2.52465522e-03,8.19427637e-03,1.86339779e-02,2.35002291e-02,-2.02385633e-02
0.205051,-9.12413310e-03,-2.37497111e-03,8.41467228e-03,1.88332391e-02,2.35440588e-02,-2.00290775e-02
0.206052,-9.05932066e-03,-2.22483141e-03,8.63483913e-03,1.90295528e-02,2.35824656e-02,-1.98119755e-02
0.207052,-8.99416052e-03,-2.07424430e-03,8.85468741e-03,1.92228894e-02,2.36152747e-02,-1.95874091e-02
0.208052,-8.92869284e-03,-1.92319318e-03,9.07408504e-03,1.94132871e-02,2.36421897e-02,-1.93557773e-02
0.209052,-8.86295994e-03,-1.77165893e-03,9.29289373e-03,1.96007929e-02,2.36628966e-02,-1.91175222e-02
0.210053,-8.79699184e-03,-1.61964075e-03,9.51100263e-03,1.97853813e-02,2.36771335e-02,-1.88728680e-02
0.211053,-8.73080202e-03,-1.46717784e-03,9.72836279e-03,1.99669624e-02,2.36848618e-02,-1.86217827e-02
0.212053,-8.66438643e-03,-1.31434113e-03,9.94497690e-03,2.01453620e-02,2.36861926e-02,-1.83639348e-02
0.213053,-8.59773282e-03,-1.16121432e-03,1.01608683e-02,2.03203598e-02,2.36812883e-02,-1.80988367e-02
0.214054,-8.53083429e-03,-1.00787168e-03,1.03760452e-02,2.04917604e-02,2.36702724e-02,-1.78260820e-02
0.215054,-8.46369965e-03,-8.54358994e-04,1.05904704e-02,2.06594444e-02,2.36531416e-02,-1.75455267e-02
0.216054,-8.39635583e-03,-7.00686909e-04,1.08040477e-02,2.08233695e-02,2.36297099e-02,-1.72573229e-02
