u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.877219,2.35396146e-03,2.07134710e-02,-1.22560372e-02,1.80912795e-02,1.92350431e-02,-4.14070694e-03
0.878220,2.34593077e-03,2.06724960e-02,-1.22678895e-02,1.80778928e-02,1.93298988e-02,-4.09106671e-03
0.879220,2.33756973e-03,2.06315266e-02,-1.22811260e-02,1.80620916e-02,1.94231403e-02,-4.03880146e-03
0.880220,2.32897272e-03,2.05905212e-02,-1.22959714e-02,1.80436466e-02,1.95147119e-02,-3.98376355e-03
0.881220,2.32023752e-03,2.05494348e-02,-1.23126326e-02,1.80223443e-02,1.96045569e-02,-3.92582615e-03
0.882221,2.31144712e-03,2.05082222e-02,-1.23312576e-02,1.79980013e-02,1.96925795e-02,-3.86498938e-03
0.883221,2.30269188e-03,2.04668355e-02,-1.23519669e-02,1.79704743e-02,1.97787086e-02,-3.80127355e-03
0.884221,2.29408070e-03,2.04252164e-02,-1.23749680e-02,1.79395134e-02,1.98628391e-02,-3.73452677e-03
0.885221,2.28571395e-03,2.03833112e-02,-1.24003729e-02,1.79049833e-02,1.99449062e-02,-3.66473565e-03
0.886222,2.27768702e-03,2.03410588e-02,-1.24282958e-02,1.78667006e-02,2.00247730e-02,-3.59192171e-03
0.887222,2.27009391e-03,2.02984026e-02,-1.24587960e-02,1.78245644e-02,2.01023554e-02,-3.51614457e-03
0.888222,2.26304720e-03,2.02552740e-02,-1.24920062e-02,1.77783770e-02,2.01775300e-02,-3.43732887e-03
0.889222,2.25664761e-03,2.02116095e-02,-1.25279896e-02,1.77280203e-02,2.02501977e-02,-3.35548849e-03
0.890223,2.25098889e-03,2.01673430e-02,-1.25667757e-02,1.76733873e-02,2.03202289e-02,-3.27070772e-03
0.891223,2.24616467e-03,2.01224074e-02,-1.26083797e-02,1.76143841e-02,2.03874957e-02,-3.18307063e-03
0.892223,2.24227091e-03,2.00767361e-02,-1.26528193e-02,1.75509226e-02,2.04518891e-02,-3.09260914e-03
